col,row,x,y,label,double
1622.0,530.0,375000,575000,E75_N75,False
289.0,851.0,367000,573000,E67_N73,False
284.0,2358.0,367000,564000,E67_N64,False
1605.0,2379.0,375000,564000,E75_N64,False
787.0,1361.5,370000,570000,E70_N70,True
